# Index 	 Time 	 Data
4.786000000000000000e+03 5.375874917647059920e+04 6.331000000000000000e+03
4.787000000000000000e+03 5.376764517647058528e+04 6.232000000000000000e+03
4.788000000000000000e+03 5.377574917647059192e+04 6.178000000000000000e+03
4.789000000000000000e+03 5.378464517647059256e+04 5.865000000000000000e+03
4.790000000000000000e+03 5.379274917647059192e+04 5.477000000000000000e+03
4.791000000000000000e+03 5.380164517647058528e+04 5.051000000000000000e+03
4.792000000000000000e+03 5.380973223529411916e+04 5.640000000000000000e+03
4.793000000000000000e+03 5.381881694117647567e+04 5.790000000000000000e+03
4.794000000000000000e+03 5.382764517647058528e+04 5.983000000000000000e+03
4.795000000000000000e+03 5.383574917647059192e+04 6.210000000000000000e+03
4.796000000000000000e+03 5.384464517647059256e+04 6.022000000000000000e+03
4.797000000000000000e+03 5.385274917647059192e+04 5.937000000000000000e+03
4.798000000000000000e+03 5.386164517647058528e+04 5.745000000000000000e+03
4.799000000000000000e+03 5.386974917647059192e+04 6.328000000000000000e+03
4.800000000000000000e+03 5.387864517647059256e+04 7.688000000000000000e+03
4.801000000000000000e+03 5.388673223529411916e+04 7.745000000000000000e+03
4.802000000000000000e+03 5.389581694117646839e+04 7.624000000000000000e+03
4.803000000000000000e+03 5.390464517647059256e+04 8.656000000000000000e+03
4.804000000000000000e+03 5.391274917647059920e+04 8.243000000000000000e+03
4.805000000000000000e+03 5.392164517647058528e+04 9.493000000000000000e+03
4.806000000000000000e+03 5.392973223529411916e+04 8.509000000000000000e+03
4.807000000000000000e+03 5.393881694117647567e+04 7.249000000000000000e+03
4.808000000000000000e+03 5.394764517647058528e+04 4.889000000000000000e+03
4.809000000000000000e+03 5.395573223529411916e+04 5.156000000000000000e+03
4.810000000000000000e+03 5.396481694117647567e+04 4.798000000000000000e+03
4.811000000000000000e+03 5.397364517647059256e+04 5.765000000000000000e+03
4.812000000000000000e+03 5.398174917647059192e+04 7.629000000000000000e+03
4.813000000000000000e+03 5.399064517647058528e+04 7.306000000000000000e+03
4.814000000000000000e+03 5.399873223529412644e+04 1.106100000000000000e+04
4.815000000000000000e+03 5.400781694117647567e+04 1.206900000000000000e+04
4.816000000000000000e+03 5.401664517647058528e+04 8.236000000000000000e+03
4.817000000000000000e+03 5.402474917647059192e+04 6.528000000000000000e+03
4.818000000000000000e+03 5.403364517647059256e+04 4.970000000000000000e+03
4.819000000000000000e+03 5.404173223529411916e+04 4.009000000000000000e+03
4.820000000000000000e+03 5.405081694117646839e+04 4.017000000000000000e+03
4.821000000000000000e+03 5.405964517647059256e+04 4.116000000000000000e+03
4.822000000000000000e+03 5.406774917647059192e+04 4.885000000000000000e+03
4.823000000000000000e+03 5.407664517647058528e+04 4.284000000000000000e+03
4.824000000000000000e+03 5.408473223529411916e+04 4.558000000000000000e+03
4.825000000000000000e+03 5.409381694117647567e+04 3.808000000000000000e+03
4.826000000000000000e+03 5.410264517647058528e+04 3.638000000000000000e+03
4.827000000000000000e+03 5.411073223529411916e+04 4.093000000000000000e+03
4.828000000000000000e+03 5.411981694117647567e+04 4.680000000000000000e+03
4.829000000000000000e+03 5.412864517647059256e+04 4.881000000000000000e+03
4.830000000000000000e+03 5.413674917647059192e+04 5.705000000000000000e+03
4.831000000000000000e+03 5.414564517647058528e+04 6.815000000000000000e+03
4.832000000000000000e+03 5.415373223529412644e+04 8.739000000000000000e+03
4.833000000000000000e+03 5.416281694117647567e+04 9.469000000000000000e+03
4.834000000000000000e+03 5.417164517647058528e+04 8.898000000000000000e+03
4.835000000000000000e+03 5.417974917647059920e+04 1.141800000000000000e+04
4.836000000000000000e+03 5.418864517647059256e+04 5.480000000000000000e+03
4.837000000000000000e+03 5.419673223529411916e+04 5.653000000000000000e+03
4.838000000000000000e+03 5.420581694117646839e+04 5.891000000000000000e+03
4.839000000000000000e+03 5.421464517647059256e+04 5.145000000000000000e+03
4.840000000000000000e+03 5.422273223529411916e+04 4.287000000000000000e+03
4.841000000000000000e+03 5.423181694117646839e+04 4.258000000000000000e+03
4.842000000000000000e+03 5.424064517647058528e+04 4.802000000000000000e+03
4.843000000000000000e+03 5.424874917647059920e+04 3.869000000000000000e+03
4.844000000000000000e+03 5.425764517647058528e+04 4.134000000000000000e+03
4.845000000000000000e+03 5.426573223529411916e+04 3.365000000000000000e+03
4.846000000000000000e+03 5.427481694117647567e+04 3.909000000000000000e+03
4.847000000000000000e+03 5.428364517647058528e+04 4.426000000000000000e+03
4.848000000000000000e+03 5.429174917647059192e+04 5.841000000000000000e+03
4.849000000000000000e+03 5.430064517647058528e+04 3.834000000000000000e+03
4.850000000000000000e+03 5.430873223529412644e+04 3.245000000000000000e+03
4.851000000000000000e+03 5.431781694117647567e+04 3.552000000000000000e+03
4.852000000000000000e+03 5.432664517647058528e+04 3.737000000000000000e+03
4.853000000000000000e+03 5.433473223529412644e+04 3.873000000000000000e+03
4.854000000000000000e+03 5.434381694117647567e+04 3.912000000000000000e+03
4.855000000000000000e+03 5.435264517647058528e+04 5.304000000000000000e+03
4.856000000000000000e+03 5.436074917647059192e+04 4.989000000000000000e+03
4.857000000000000000e+03 5.436964517647059256e+04 4.975000000000000000e+03
4.858000000000000000e+03 5.437773223529411916e+04 4.660000000000000000e+03
4.859000000000000000e+03 5.438681694117646839e+04 3.862000000000000000e+03
4.860000000000000000e+03 5.439564517647059256e+04 3.636000000000000000e+03
4.861000000000000000e+03 5.440374917647059920e+04 4.374000000000000000e+03
4.862000000000000000e+03 5.441264517647058528e+04 4.278000000000000000e+03
4.863000000000000000e+03 5.442073223529411916e+04 5.192000000000000000e+03
4.864000000000000000e+03 5.442981694117647567e+04 5.101000000000000000e+03
4.865000000000000000e+03 5.443864517647058528e+04 4.834000000000000000e+03
4.866000000000000000e+03 5.444673223529411916e+04 4.922000000000000000e+03
4.867000000000000000e+03 5.445581694117646839e+04 4.287000000000000000e+03
4.868000000000000000e+03 5.446464517647059256e+04 4.121000000000000000e+03
4.869000000000000000e+03 5.447273223529411916e+04 5.659000000000000000e+03
4.870000000000000000e+03 5.448181694117646839e+04 6.875000000000000000e+03
4.871000000000000000e+03 5.449064517647059256e+04 6.129000000000000000e+03
4.872000000000000000e+03 5.449873223529411916e+04 7.842000000000000000e+03
4.873000000000000000e+03 5.450781694117646839e+04 1.239500000000000000e+04
4.874000000000000000e+03 5.451664517647058528e+04 1.104800000000000000e+04
4.875000000000000000e+03 5.452473223529412644e+04 1.087700000000000000e+04
4.876000000000000000e+03 5.453380000000000291e+04 1.090900000000000000e+04
4.877000000000000000e+03 5.454281694117646839e+04 9.486000000000000000e+03
4.878000000000000000e+03 5.455164517647059256e+04 8.850000000000000000e+03
4.879000000000000000e+03 5.455973223529412644e+04 9.118000000000000000e+03
4.880000000000000000e+03 5.456881694117647567e+04 9.143000000000000000e+03
4.881000000000000000e+03 5.457764517647058528e+04 9.085000000000000000e+03
4.882000000000000000e+03 5.458573223529412644e+04 9.015000000000000000e+03
4.883000000000000000e+03 5.459481694117647567e+04 9.306000000000000000e+03
4.884000000000000000e+03 5.460364517647058528e+04 8.885000000000000000e+03
4.885000000000000000e+03 5.461173223529412644e+04 7.841000000000000000e+03
4.886000000000000000e+03 5.462081694117647567e+04 9.020000000000000000e+03
4.887000000000000000e+03 5.462964517647058528e+04 9.232000000000000000e+03
4.888000000000000000e+03 5.463773223529411916e+04 8.688000000000000000e+03
4.889000000000000000e+03 5.464680000000000291e+04 8.277000000000000000e+03
4.890000000000000000e+03 5.465581694117647567e+04 8.580000000000000000e+03
4.891000000000000000e+03 5.466464517647058528e+04 8.930000000000000000e+03
4.892000000000000000e+03 5.467273223529411916e+04 9.088000000000000000e+03
4.893000000000000000e+03 5.468181694117647567e+04 8.971000000000000000e+03
4.894000000000000000e+03 5.469064517647058528e+04 8.971000000000000000e+03
4.895000000000000000e+03 5.469873223529411916e+04 9.704000000000000000e+03
4.896000000000000000e+03 5.470781694117647567e+04 8.846000000000000000e+03
4.897000000000000000e+03 5.471664517647058528e+04 7.960000000000000000e+03
4.898000000000000000e+03 5.472473223529411916e+04 8.567000000000000000e+03
4.899000000000000000e+03 5.473379999999999563e+04 1.036400000000000000e+04
4.900000000000000000e+03 5.474281694117647567e+04 8.625000000000000000e+03
4.901000000000000000e+03 5.475164517647058528e+04 7.900000000000000000e+03
4.902000000000000000e+03 5.475973223529411916e+04 7.888000000000000000e+03
4.903000000000000000e+03 5.476881694117647567e+04 7.124000000000000000e+03
4.904000000000000000e+03 5.477764517647059256e+04 6.475000000000000000e+03
4.905000000000000000e+03 5.478573223529411916e+04 6.279000000000000000e+03
4.906000000000000000e+03 5.479481694117646839e+04 6.138000000000000000e+03
4.907000000000000000e+03 5.480364517647059256e+04 6.325000000000000000e+03
4.908000000000000000e+03 5.481173223529411916e+04 6.199000000000000000e+03
4.909000000000000000e+03 5.482079999999999563e+04 6.586000000000000000e+03
