# Index 	 Time 	 Data
4.395000000000000000e+03 4.985377846153845167e+04 1.664400000000000000e+04
4.396000000000000000e+03 4.986900000000000728e+04 1.516900000000000000e+04
4.397000000000000000e+03 4.988400000000000000e+04 1.505100000000000000e+04
4.398000000000000000e+03 4.989899999999999272e+04 2.018600000000000000e+04
4.399000000000000000e+03 4.991400000000000728e+04 1.439200000000000000e+04
4.400000000000000000e+03 4.992900000000000000e+04 1.505500000000000000e+04
4.401000000000000000e+03 4.994400000000000000e+04 1.577700000000000000e+04
4.402000000000000000e+03 4.995899999999999272e+04 1.752500000000000000e+04
4.403000000000000000e+03 4.997400000000000728e+04 1.887500000000000000e+04
4.404000000000000000e+03 4.998900000000000000e+04 1.775200000000000000e+04
4.405000000000000000e+03 5.000393032258063613e+04 1.848800000000000000e+04
4.406000000000000000e+03 5.001962477419352945e+04 1.751700000000000000e+04
4.407000000000000000e+03 5.003504645161289955e+04 1.705900000000000000e+04
4.408000000000000000e+03 5.005000000000000000e+04 1.789700000000000000e+04
4.409000000000000000e+03 5.006499999999999272e+04 1.701400000000000000e+04
4.410000000000000000e+03 5.008000000000000728e+04 1.624800000000000000e+04
4.411000000000000000e+03 5.009500000000000000e+04 1.703800000000000000e+04
4.412000000000000000e+03 5.011000000000000000e+04 1.791700000000000000e+04
4.413000000000000000e+03 5.012499999999999272e+04 1.900900000000000000e+04
4.414000000000000000e+03 5.014000000000000728e+04 1.850800000000000000e+04
4.415000000000000000e+03 5.015500000000000000e+04 1.908800000000000000e+04
4.416000000000000000e+03 5.016999999999999272e+04 2.298700000000000000e+04
4.417000000000000000e+03 5.018493032258065068e+04 2.138200000000000000e+04
4.418000000000000000e+03 5.020062477419354400e+04 2.046700000000000000e+04
4.419000000000000000e+03 5.021604645161289955e+04 2.070700000000000000e+04
4.420000000000000000e+03 5.023099999999999272e+04 2.052200000000000000e+04
4.421000000000000000e+03 5.024600000000000728e+04 2.049800000000000000e+04
4.422000000000000000e+03 5.026100000000000000e+04 1.881700000000000000e+04
4.423000000000000000e+03 5.027599999999999272e+04 1.632900000000000000e+04
4.424000000000000000e+03 5.029100000000000728e+04 1.529300000000000000e+04
4.425000000000000000e+03 5.030600000000000000e+04 1.595800000000000000e+04
4.426000000000000000e+03 5.032100000000000000e+04 1.572700000000000000e+04
4.427000000000000000e+03 5.033599999999999272e+04 2.057500000000000000e+04
4.428000000000000000e+03 5.035100000000000728e+04 1.684100000000000000e+04
4.429000000000000000e+03 5.036593032258064341e+04 1.595400000000000000e+04
4.430000000000000000e+03 5.038162477419354400e+04 1.777400000000000000e+04
4.431000000000000000e+03 5.039704645161289955e+04 1.796500000000000000e+04
4.432000000000000000e+03 5.041200000000000000e+04 1.722500000000000000e+04
4.433000000000000000e+03 5.042700000000000000e+04 1.937100000000000000e+04
4.434000000000000000e+03 5.044199999999999272e+04 1.925500000000000000e+04
4.435000000000000000e+03 5.045700000000000728e+04 1.757500000000000000e+04
4.436000000000000000e+03 5.047200000000000000e+04 1.442900000000000000e+04
4.437000000000000000e+03 5.048700000000000000e+04 1.548700000000000000e+04
4.438000000000000000e+03 5.050199999999999272e+04 1.630700000000000000e+04
4.439000000000000000e+03 5.051700000000000728e+04 1.488100000000000000e+04
4.440000000000000000e+03 5.053200000000000000e+04 1.411800000000000000e+04
4.441000000000000000e+03 5.054693032258063613e+04 1.352200000000000000e+04
4.442000000000000000e+03 5.056262477419355127e+04 1.533200000000000000e+04
4.443000000000000000e+03 5.057804645161289955e+04 1.618900000000000000e+04
4.444000000000000000e+03 5.059300000000000000e+04 1.575600000000000000e+04
4.445000000000000000e+03 5.060799999999999272e+04 1.456900000000000000e+04
4.446000000000000000e+03 5.062300000000000728e+04 1.222900000000000000e+04
4.447000000000000000e+03 5.063800000000000000e+04 1.347800000000000000e+04
4.448000000000000000e+03 5.065299999999999272e+04 1.361000000000000000e+04
4.449000000000000000e+03 5.066800000000000728e+04 1.581000000000000000e+04
4.450000000000000000e+03 5.068300000000000000e+04 1.829500000000000000e+04
4.451000000000000000e+03 5.069800000000000000e+04 1.267200000000000000e+04
4.452000000000000000e+03 5.071299999999999272e+04 1.198900000000000000e+04
4.453000000000000000e+03 5.072793032258065068e+04 1.023300000000000000e+04
4.454000000000000000e+03 5.074362477419354400e+04 1.119900000000000000e+04
4.455000000000000000e+03 5.075904645161289227e+04 1.140200000000000000e+04
4.456000000000000000e+03 5.077399999999999272e+04 9.844000000000000000e+03
4.457000000000000000e+03 5.078900000000000000e+04 9.404000000000000000e+03
4.458000000000000000e+03 5.080400000000000000e+04 9.632000000000000000e+03
4.459000000000000000e+03 5.081899999999999272e+04 1.248600000000000000e+04
4.460000000000000000e+03 5.083400000000000728e+04 1.651600000000000000e+04
4.461000000000000000e+03 5.084900000000000000e+04 2.216100000000000000e+04
4.462000000000000000e+03 5.086400000000000000e+04 2.339600000000000000e+04
4.463000000000000000e+03 5.087899999999999272e+04 2.527400000000000000e+04
