# Index 	 Time 	 Data
2.216900000000000000e+04 2.576022508235293790e+05 6.897000000000000000e+03
2.217000000000000000e+04 2.576103548235294002e+05 6.954000000000000000e+03
2.217100000000000000e+04 2.576192508235293790e+05 2.451300000000000000e+04
2.217200000000000000e+04 2.576274150588235352e+05 1.931500000000000000e+04
2.217300000000000000e+04 2.576353397647058882e+05 1.491000000000000000e+04
2.217400000000000000e+04 2.576442508235294081e+05 1.263500000000000000e+04
2.217500000000000000e+04 2.576523548235294002e+05 1.414700000000000000e+04
2.217600000000000000e+04 2.576612508235293790e+05 1.354000000000000000e+04
2.217700000000000000e+04 2.576693548235294002e+05 1.352500000000000000e+04
2.217800000000000000e+04 2.576782508235293790e+05 1.384400000000000000e+04
2.217900000000000000e+04 2.576863548235294584e+05 1.463300000000000000e+04
2.218000000000000000e+04 2.576952508235294081e+05 1.156700000000000000e+04
2.218100000000000000e+04 2.577034150588235061e+05 1.154700000000000000e+04
2.218200000000000000e+04 2.577113397647058882e+05 1.217800000000000000e+04
2.218300000000000000e+04 2.577202508235293790e+05 1.378200000000000000e+04
2.218400000000000000e+04 2.577283548235294002e+05 1.379700000000000000e+04
2.218500000000000000e+04 2.577372508235294663e+05 1.358200000000000000e+04
2.218600000000000000e+04 2.577453548235294002e+05 1.207000000000000000e+04
2.218700000000000000e+04 2.577542508235294081e+05 1.438100000000000000e+04
2.218800000000000000e+04 2.577623548235294002e+05 1.537100000000000000e+04
2.218900000000000000e+04 2.577712508235293790e+05 1.370900000000000000e+04
2.219000000000000000e+04 2.577794150588235352e+05 1.307200000000000000e+04
2.219100000000000000e+04 2.577873397647058882e+05 1.275300000000000000e+04
2.219200000000000000e+04 2.577962508235294081e+05 1.294300000000000000e+04
2.219300000000000000e+04 2.578043548235294002e+05 1.304600000000000000e+04
2.219400000000000000e+04 2.578132508235293790e+05 1.478100000000000000e+04
2.219500000000000000e+04 2.578213548235294002e+05 1.745300000000000000e+04
2.219600000000000000e+04 2.578302508235293790e+05 1.565800000000000000e+04
2.219700000000000000e+04 2.578384150588235352e+05 1.597700000000000000e+04
2.219800000000000000e+04 2.578463397647058882e+05 1.397800000000000000e+04
2.219900000000000000e+04 2.578552508235294081e+05 1.152500000000000000e+04
2.220000000000000000e+04 2.578633548235294002e+05 1.178500000000000000e+04
2.220100000000000000e+04 2.578722508235293790e+05 1.284800000000000000e+04
2.220200000000000000e+04 2.578803548235294002e+05 1.329100000000000000e+04
2.220300000000000000e+04 2.578892508235293790e+05 1.266200000000000000e+04
2.220400000000000000e+04 2.578973548235294584e+05 1.134100000000000000e+04
2.220500000000000000e+04 2.579062508235294081e+05 1.347800000000000000e+04
2.220600000000000000e+04 2.579144150588235061e+05 1.435500000000000000e+04
2.220700000000000000e+04 2.579223397647058882e+05 1.194800000000000000e+04
2.220800000000000000e+04 2.579312508235293790e+05 1.139400000000000000e+04
