# Index 	 Time 	 Data
4.366400000000000000e+04 4.724597834838709095e+05 3.195000000000000000e+03
4.366500000000000000e+04 4.724757999999999884e+05 3.232000000000000000e+03
4.366600000000000000e+04 4.724918660645161290e+05 3.386000000000000000e+03
4.366700000000000000e+04 4.725069535483871005e+05 3.305000000000000000e+03
4.366800000000000000e+04 4.725227834838710260e+05 3.638000000000000000e+03
4.366900000000000000e+04 4.725388660645161872e+05 3.667000000000000000e+03
4.367000000000000000e+04 4.725539535483871005e+05 3.487000000000000000e+03
4.367100000000000000e+04 4.725697834838709678e+05 3.359000000000000000e+03
4.367200000000000000e+04 4.725857999999999884e+05 3.515000000000000000e+03
4.367300000000000000e+04 4.726018660645161290e+05 3.341000000000000000e+03
4.367400000000000000e+04 4.726169535483871587e+05 3.531000000000000000e+03
4.367500000000000000e+04 4.726327834838710260e+05 3.616000000000000000e+03
4.367600000000000000e+04 4.726487999999999884e+05 3.308000000000000000e+03
4.367700000000000000e+04 4.726648660645161290e+05 3.178000000000000000e+03
4.367800000000000000e+04 4.726799535483871005e+05 3.248000000000000000e+03
4.367900000000000000e+04 4.726957834838709678e+05 3.346000000000000000e+03
4.368000000000000000e+04 4.727117999999999884e+05 3.272000000000000000e+03
4.368100000000000000e+04 4.727278660645161872e+05 3.410000000000000000e+03
4.368200000000000000e+04 4.727429535483871005e+05 3.421000000000000000e+03
4.368300000000000000e+04 4.727588495483870502e+05 4.131000000000000000e+03
4.368400000000000000e+04 4.727739535483871005e+05 3.486000000000000000e+03
4.368500000000000000e+04 4.727897834838709678e+05 3.474000000000000000e+03
4.368600000000000000e+04 4.728058660645161290e+05 3.482000000000000000e+03
4.368700000000000000e+04 4.728209535483871587e+05 3.330000000000000000e+03
4.368800000000000000e+04 4.728368495483871084e+05 3.412000000000000000e+03
4.368900000000000000e+04 4.728519535483871005e+05 3.272000000000000000e+03
4.369000000000000000e+04 4.728678495483871084e+05 3.237000000000000000e+03
4.369100000000000000e+04 4.728829535483871005e+05 3.210000000000000000e+03
4.369200000000000000e+04 4.728988495483871084e+05 3.353000000000000000e+03
4.369300000000000000e+04 4.729139535483871587e+05 3.449000000000000000e+03
4.369400000000000000e+04 4.729298495483871084e+05 3.362000000000000000e+03
4.369500000000000000e+04 4.729449535483871005e+05 3.549000000000000000e+03
4.369600000000000000e+04 4.729608495483871084e+05 3.221000000000000000e+03
4.369700000000000000e+04 4.729759535483871005e+05 3.502000000000000000e+03
4.369800000000000000e+04 4.729918495483871084e+05 3.437000000000000000e+03
4.369900000000000000e+04 4.730069535483871587e+05 3.505000000000000000e+03
4.370000000000000000e+04 4.730228495483871084e+05 3.253000000000000000e+03
4.370100000000000000e+04 4.730379535483871005e+05 3.511000000000000000e+03
4.370200000000000000e+04 4.730538495483871084e+05 3.300000000000000000e+03
4.370300000000000000e+04 4.730689535483871005e+05 3.545000000000000000e+03
4.370400000000000000e+04 4.730848495483871084e+05 3.310000000000000000e+03
4.370500000000000000e+04 4.730999535483871005e+05 3.454000000000000000e+03
4.370600000000000000e+04 4.731158495483871666e+05 3.223000000000000000e+03
4.370700000000000000e+04 4.731309535483871005e+05 3.623000000000000000e+03
4.370800000000000000e+04 4.731468495483870502e+05 3.459000000000000000e+03
4.370900000000000000e+04 4.731619535483871005e+05 3.522000000000000000e+03
4.371000000000000000e+04 4.731778495483871084e+05 3.415000000000000000e+03
4.371100000000000000e+04 4.731929535483871005e+05 3.466000000000000000e+03
4.371200000000000000e+04 4.732088495483871666e+05 3.529000000000000000e+03
4.371300000000000000e+04 4.732239535483871005e+05 3.498000000000000000e+03
4.371400000000000000e+04 4.732398495483870502e+05 3.303000000000000000e+03
4.371500000000000000e+04 4.732549535483871005e+05 3.215000000000000000e+03
4.371600000000000000e+04 4.732708495483871084e+05 3.309000000000000000e+03
4.371700000000000000e+04 4.732859535483871005e+05 3.712000000000000000e+03
4.371800000000000000e+04 4.733018495483871666e+05 3.362000000000000000e+03
4.371900000000000000e+04 4.733169535483871005e+05 3.391000000000000000e+03
4.372000000000000000e+04 4.733328495483870502e+05 3.237000000000000000e+03
4.372100000000000000e+04 4.733479535483871005e+05 3.487000000000000000e+03
4.372200000000000000e+04 4.733637834838709678e+05 3.395000000000000000e+03
4.372300000000000000e+04 4.733798660645161290e+05 3.518000000000000000e+03
4.372400000000000000e+04 4.733949535483871587e+05 3.698000000000000000e+03
4.372500000000000000e+04 4.734108495483871084e+05 3.398000000000000000e+03
4.372600000000000000e+04 4.734259535483871005e+05 3.384000000000000000e+03
4.372700000000000000e+04 4.734418495483871084e+05 3.569000000000000000e+03
4.372800000000000000e+04 4.734569535483871005e+05 3.551000000000000000e+03
4.372900000000000000e+04 4.734728495483871084e+05 3.435000000000000000e+03
4.373000000000000000e+04 4.734879535483871005e+05 3.600000000000000000e+03
4.373100000000000000e+04 4.735038495483871666e+05 3.532000000000000000e+03
4.373200000000000000e+04 4.735189535483871005e+05 3.475000000000000000e+03
4.373300000000000000e+04 4.735348495483870502e+05 3.461000000000000000e+03
4.373400000000000000e+04 4.735499535483871005e+05 3.497000000000000000e+03
4.373500000000000000e+04 4.735658495483871084e+05 3.538000000000000000e+03
4.373600000000000000e+04 4.735809535483871005e+05 3.661000000000000000e+03
4.373700000000000000e+04 4.735968495483871666e+05 3.363000000000000000e+03
4.373800000000000000e+04 4.736119535483871005e+05 3.551000000000000000e+03
4.373900000000000000e+04 4.736278495483870502e+05 3.505000000000000000e+03
4.374000000000000000e+04 4.736429535483871005e+05 3.401000000000000000e+03
4.374100000000000000e+04 4.736588495483871084e+05 3.356000000000000000e+03
4.374200000000000000e+04 4.736739535483871005e+05 3.724000000000000000e+03
