# Index 	 Time 	 Data
3.492700000000000000e+04 3.771493548235294875e+05 6.200000000000000000e+03
3.492800000000000000e+04 3.771581830588235171e+05 5.951000000000000000e+03
3.492900000000000000e+04 3.771672677647058154e+05 6.261000000000000000e+03
3.493000000000000000e+04 3.771753548235294293e+05 6.278000000000000000e+03
3.493100000000000000e+04 3.771841830588235171e+05 6.527000000000000000e+03
3.493200000000000000e+04 3.771932677647059318e+05 5.986000000000000000e+03
3.493300000000000000e+04 3.772013548235294875e+05 6.092000000000000000e+03
3.493400000000000000e+04 3.772101830588235171e+05 6.332000000000000000e+03
3.493500000000000000e+04 3.772192677647058154e+05 6.083000000000000000e+03
3.493600000000000000e+04 3.772273548235294293e+05 6.311000000000000000e+03
3.493700000000000000e+04 3.772362508235293790e+05 6.349000000000000000e+03
3.493800000000000000e+04 3.772443548235294293e+05 6.041000000000000000e+03
3.493900000000000000e+04 3.772531830588235753e+05 6.168000000000000000e+03
3.494000000000000000e+04 3.772622677647058736e+05 6.446000000000000000e+03
3.494100000000000000e+04 3.772703548235294293e+05 6.290000000000000000e+03
3.494200000000000000e+04 3.772791830588235171e+05 6.649000000000000000e+03
3.494300000000000000e+04 3.772882677647059318e+05 6.573000000000000000e+03
3.494400000000000000e+04 3.772963548235294293e+05 6.580000000000000000e+03
3.494500000000000000e+04 3.773051830588235171e+05 6.711000000000000000e+03
3.494600000000000000e+04 3.773142677647059318e+05 7.980000000000000000e+03
3.494700000000000000e+04 3.773223548235293711e+05 6.408000000000000000e+03
3.494800000000000000e+04 3.773312508235294372e+05 6.807000000000000000e+03
3.494900000000000000e+04 3.773393548235294293e+05 6.703000000000000000e+03
3.495000000000000000e+04 3.773481830588235171e+05 7.364000000000000000e+03
